dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases,group_value_label
BPI20PrepaidTravelCosts,transformer,sequence,RT,prefix_length_bucket,2,219,1.2117599627228597,2.9817640399999044,0.6875951290130615,3.2235373955219986,-1.0307379931045486,219,
BPI20PrepaidTravelCosts,transformer,sequence,RT,prefix_length_bucket,3,203,1.1409163772830455,2.6648440289968542,0.6943828910589218,2.868926525115968,-0.9559532273698396,203,
BPI20PrepaidTravelCosts,transformer,sequence,RT,prefix_length_bucket,4-5,445,0.5451545079071284,0.8611752878942588,0.2693315744400024,1.4012306183576593,-0.406412547162284,356,
BPI20PrepaidTravelCosts,transformer,sequence,RT,prefix_length_bucket,6-10,828,0.2066475084526149,0.1452404768917693,0.1190304458141326,0.4572152599692345,-0.1029138343784382,451,
BPI20RequestForPayment,gemma-2-2b,llm,RT,prefix_length_bucket,1,367,0.8287335432398486,1.1232696527055084,0.6663959622383118,1.6603660702705385,-0.0602418726363424,367,
BPI20RequestForPayment,gemma-2-2b,llm,RT,prefix_length_bucket,2,372,0.875804999954648,1.2336392682317956,0.7342132702469826,1.689390249550343,-0.0222352638988385,372,
BPI20RequestForPayment,gemma-2-2b,llm,RT,prefix_length_bucket,3,371,0.7627351221169102,0.9030868300657996,0.6750943660736084,1.3704555332660675,0.2229045855529064,371,
BPI20RequestForPayment,gemma-2-2b,llm,RT,prefix_length_bucket,4-5,664,0.4116233169341022,0.342010976585728,0.303396409843117,0.8742009297013286,0.2175503095621748,583,
BPI20RequestForPayment,gemma-2-2b,llm,RT,prefix_length_bucket,6-10,222,0.2585830276387299,0.1858775375962016,0.1346170455217361,0.6373655103147031,0.0751058323904536,188,
BPI20RequestForPayment,llama32-1b,llm,RT,prefix_length_bucket,1,367,0.8006226878362005,1.1040717513671852,0.5750319957733154,1.61391785144806,-0.1905153774636054,367,
BPI20RequestForPayment,llama32-1b,llm,RT,prefix_length_bucket,2,372,0.8450672369605551,1.2008045593284835,0.6776225715875626,1.59035883769393,-0.154296889001133,372,
BPI20RequestForPayment,llama32-1b,llm,RT,prefix_length_bucket,3,371,0.6622902084313925,0.7915338458662897,0.5776130333542824,1.2756593823432922,0.0804950595222102,371,
BPI20RequestForPayment,llama32-1b,llm,RT,prefix_length_bucket,4-5,664,0.3482599508223132,0.2687411302595157,0.2569163515581749,0.6460594981908799,0.1506267613610351,583,
BPI20RequestForPayment,llama32-1b,llm,RT,prefix_length_bucket,6-10,222,0.2672441063466091,0.1718278177162546,0.168116420507431,0.5553802765905858,0.1204255874562895,188,
BPI20RequestForPayment,rnn,sequence,RT,prefix_length_bucket,1,367,0.8276794226840138,1.2313206760877642,0.6286752223968506,1.6984248399734505,-0.3537502914428589,367,
BPI20RequestForPayment,rnn,sequence,RT,prefix_length_bucket,2,372,0.8537207955784936,1.2965771370125636,0.6386170536279678,1.8630873441696167,-0.324287669838316,372,
BPI20RequestForPayment,rnn,sequence,RT,prefix_length_bucket,3,371,0.6492592030207343,0.8381082094184642,0.4870266038924455,1.421120434999466,-0.1168792839099294,371,
BPI20RequestForPayment,rnn,sequence,RT,prefix_length_bucket,4-5,664,0.2808286422212799,0.2511685144346867,0.1597937643527984,0.5708159938454634,-0.0287954914404629,583,
BPI20RequestForPayment,rnn,sequence,RT,prefix_length_bucket,6-10,222,0.2486582232643388,0.1601298867077506,0.1523262411355972,0.5736463218927386,0.0699157503177621,188,
BPI20RequestForPayment,saprpt,tabular_fm,RT,prefix_length_bucket,1,367,0.8045508149739771,1.1249566615734048,0.5744102001190186,1.6686439752578752,-0.2029435914403147,367,
BPI20RequestForPayment,saprpt,tabular_fm,RT,prefix_length_bucket,2,372,0.8437940740459648,1.1796285513083475,0.6702660173177719,1.713190817832947,-0.1564570145258399,372,
BPI20RequestForPayment,saprpt,tabular_fm,RT,prefix_length_bucket,3,371,0.6385059334699195,0.7584199994237143,0.5128943026065826,1.2581315636634829,0.0372103502788151,371,
BPI20RequestForPayment,saprpt,tabular_fm,RT,prefix_length_bucket,4-5,664,0.2264681298488046,0.239376666665675,0.0639052540063858,0.540884155035019,0.0148891430505599,583,
BPI20RequestForPayment,saprpt,tabular_fm,RT,prefix_length_bucket,6-10,222,0.1603176586313156,0.1480527470509073,0.022519826889038,0.4057136446237565,-0.0249920301391063,188,
BPI20RequestForPayment,tabpfn3,tabular_fm,RT,prefix_length_bucket,1,367,0.8167254705278949,1.197580992423475,0.5975935012102127,1.6824557781219485,-0.3841822065999198,367,
